price,address,description,bedrooms,property_type,borough
14000000,"The OWO Residences By Raffles, Whitehall, London, SW1A","The OWO Residences By Raffles, Whitehall, London, SW1AApartment22",,flat,
14000000,"Pembridge Crescent, Notting Hill, London, W11","Pembridge Crescent, Notting Hill, London, W11House45",,house,
14000000,"Mulberry Square, London, SW1W","Mulberry Square, London, SW1WApartment33",,flat,
13950000,"Hamilton Terrace, St John's Wood, London, NW8","Hamilton Terrace, St John's Wood, London, NW8Detached55",,,
13950000,"Eaton Mews South, London, SW1W","Eaton Mews South, London, SW1WTerraced34",,,
13950000,"Cranley Gardens, London, SW7","Cranley Gardens, London, SW7Terraced66",,,
13950000,"Cheyne Place, Chelsea","Cheyne Place, ChelseaHouse86",,house,
13950000,"Eaton Mews South, Belgravia, London, SW1W, United Kingdom","Eaton Mews South, Belgravia, London, SW1W, United KingdomTown House34",,house,
13950000,"Cork Street, London, W1S","Cork Street, London, W1SApartment33",,flat,
13950000,"Hamilton Terrace, St John's Wood, London, NW8","Hamilton Terrace, St John's Wood, London, NW8Detached65",,,
13858000,"Chelsea Waterfront, Lots Road, Chelsea, London, SW10 0AA","Chelsea Waterfront, Lots Road, Chelsea, London, SW10 0AAFlat55",,flat,
13850000,"Gilston Road, Chelsea, London","Gilston Road, Chelsea, LondonHouse53",,house,
13850000,"Gilston Road, London, SW10","Gilston Road, London, SW10Terraced63",,,
13750000,"South Audley Street, London, W1K","South Audley Street, London, W1KApartment35",,flat,
13750000,"Winnington Road, London, N2","Winnington Road, London, N2Detached7",,,
13750000,"Chester Square, London","Chester Square, LondonTerraced67",,,
13750000,"South Audley Street, Mayfair, London, W1K, United Kingdom","South Audley Street, Mayfair, London, W1K, United KingdomApartment34",,flat,
13600000,"Egerton Crescent, Knightsbridge, London, SW3","Egerton Crescent, Knightsbridge, London, SW3Semi-Detached64",,,
13500000,"The Strand, Covent Garden, London, WC2R","The Strand, Covent Garden, London, WC2RPenthouse44",,flat,
13500000,"Winnington Road, London, N2.","Winnington Road, London, N2.Detached74",,,
13500000,"Arlington Street, St. James's, London, SW1A","Arlington Street, St. James's, London, SW1APenthouse34",,flat,
13500000,"Adiba House, Westbourne Gardens, London, W2","Adiba House, Westbourne Gardens, London, W2Block of Apartments1011",,flat,
13500000,"Fareham Street, London, W1F","Fareham Street, London, W1FPenthouse1714",,flat,
615000,"Saxon Avenue, Feltham","Saxon Avenue, FelthamEnd of Terrace42",,,
13500000,"Winnington Road, N2","Winnington Road, N2Detached78",,,
13500000,"Westbourne Gardens, London, W2","Westbourne Gardens, London, W2Terraced1212",,,
13500000,"Walpole Mayfair, Arlington Street, London, SW1A","Walpole Mayfair, Arlington Street, London, SW1APenthouse33",,flat,
